"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" , "Avg_TotalPress" ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          15,      -3.668051001,     -0.9781820161,     -0.9116199675,        1.78821537,      -7.578266926,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,      -0.178453466,     -0.7621987236,                 0,                 0,                 0,      -2.290321508,     -0.1383185026,     -0.7704936895,                 0,       4.271134323,   0.0001250203219
          0,           0,          16,      -3.791988652,     -0.9797771457,     -0.9070037822,       1.663293658,      -7.582631199,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     -0.1720475563,     -0.8256334883,                 0,                 0,                 0,      -2.363577147,      -0.128601453,     -0.8335062596,                 0,       4.798867858,   0.0001250203219
          0,           0,          17,      -3.796981336,      -0.985676539,      -0.910196354,       1.658977885,      -7.573728744,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     -0.1497310355,     -0.9059795407,                 0,                 0,                 0,      -2.390916717,     -0.1021105287,     -0.9125742442,                 0,       6.050713118,   0.0001250203219
          0,           0,          18,      -3.791382332,      -1.016278775,     -0.9350383431,        1.66663127,      -7.558512334,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,    -0.08619589643,      -0.888923772,                 0,                 0,                 0,      -2.064048729,    -0.03955509232,     -0.8922166775,                 0,       10.31283169,   0.0001250203219
          0,           0,          19,      -3.774375513,      -1.128131643,      -1.036281363,       1.686245155,      -7.559041259,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,    -0.06917510339,     -0.8737369745,                 0,                 0,                 0,      -1.957915241,    -0.02335244125,     -0.8761598935,                 0,       12.63080114,   0.0001250203219
          0,           0,          20,      -3.759186711,      -1.160911522,      -1.064812192,       1.701694115,      -7.550467743,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,    -0.03382743693,     -0.8019171857,                 0,                 0,                 0,      -1.670523122,    0.008188025134,     -0.8025885773,                 0,       23.70611723,   0.0001250203219
          0,           0,          21,      -3.745392092,      -1.229484746,      -1.127760148,        1.71557928,      -7.538631626,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.02753597413,     -0.5428787187,                 0,                 0,                 0,     -0.9298430779,     0.05591031391,     -0.5406936008,                 0,       -19.7152538,   0.0001250203219
          0,           0,          22,      -3.767323162,      -1.311354661,      -1.232008853,       1.692625539,      -7.536356671,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.04227049495,     -0.4714086834,                 0,                 0,                 0,     -0.7344081693,     0.06688418894,     -0.4685503674,                 0,      -11.15219218,   0.0001250203219
          0,           0,          23,      -3.770871827,      -1.310402797,      -1.241098034,       1.688633182,      -7.528493877,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.06721592002,     -0.3096716428,                 0,                 0,                 0,       -0.32727219,     0.08333076448,     -0.3057294391,                 0,       -4.60711752,   0.0001250203219
          0,           0,          24,      -3.787229974,       -1.28715284,      -1.240559724,       1.671406361,       -7.51621966,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.09559194613,     0.03356208103,                 0,                 0,                 0,      0.4405241393,     0.09370443709,     0.03851898127,                 0,      0.3510973715,   0.0001250203219
          0,           0,          25,      -3.848237401,      -1.233778242,      -1.217879078,       1.609059646,      -7.515814319,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,      0.1013708992,      0.1201452647,                 0,                 0,                 0,      0.6292640235,     0.09494405658,      0.1252859528,                 0,       1.185204686,   0.0001250203219
          0,           0,          26,      -3.859213072,      -1.218884771,      -1.205584083,       1.597779378,      -7.508208473,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,      0.1073722548,      0.2884725091,                 0,                 0,                 0,      0.9761320682,     0.09212762021,      0.2936965972,                 0,       2.686657831,   0.0001250203219
          0,           0,          27,      -3.884892114,      -1.200273405,      -1.191365699,       1.571969408,      -7.495543821,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,      0.1021377302,      0.5705528058,                 0,                 0,                 0,       1.485463114,     0.07213732732,      0.5751163588,                 0,       5.586112053,   0.0001250203219
          0,           0,          28,      -3.943777836,      -1.206219965,      -1.205684571,       1.513901753,      -7.495318915,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.09980547309,       0.637448834,                 0,                 0,                 0,       1.600955262,     0.06630719887,      0.6417986474,                 0,       6.386912604,   0.0001250203219
          0,           0,          29,      -3.949306973,      -1.209199467,      -1.208976984,       1.508621638,      -7.488704362,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.09196167549,      0.7517170628,                 0,                 0,                 0,       1.777352671,      0.0524938139,      0.7554997629,                 0,        8.17424279,   0.0001250203219
          0,           0,          30,       -3.96281469,      -1.223581974,      -1.225582449,         1.4958033,      -7.477959351,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.07043381017,      0.8901586172,                 0,                 0,                 0,       1.904553305,     0.02374998064,      0.8926249066,                 0,       12.63822893,   0.0001250203219
          0,           0,          31,      -3.999724198,      -1.270342275,      -1.280101141,       1.459744653,      -7.475585239,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.06472154377,      0.9191250913,                 0,                 0,                 0,       1.921909537,     0.01652955458,      0.9212527262,                 0,       14.20122324,   0.0001250203219
          0,           0,          32,      -4.002682364,      -1.280186336,      -1.289878188,       1.456697502,      -7.469729311,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.05310379839,      0.9525116575,                 0,                 0,                 0,       1.902066018,    0.003180413052,      0.9539855114,                 0,       17.93678958,   0.0001250203219
          0,           0,          33,       -4.01355654,      -1.298098566,      -1.308431707,        1.44568369,      -7.460352455,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.03297239594,      0.9286129977,                 0,                 0,                 0,       1.681916214,    -0.01567264079,      0.9290660077,                 0,       28.16334607,   0.0001250203219
          0,           0,          34,      -4.059827571,      -1.322236075,      -1.332463956,       1.398738927,      -7.457008002,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.02813335302,      0.9170342451,                 0,                 0,                 0,       1.615269563,    -0.01989906689,      0.9172498675,                 0,       32.59598116,   0.0001250203219
          0,           0,          35,       -4.06797316,      -1.323863365,      -1.331353628,       1.390168145,      -7.451319357,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.01990450734,      0.8725528911,                 0,                 0,                 0,       1.446488702,    -0.02578866102,      0.8723988091,                 0,        43.8369499,   0.0001250203219
          0,           0,          36,      -4.087718575,      -1.325311974,      -1.328908211,       1.370045666,      -7.441858616,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,    0.009321490416,      0.7217976986,                 0,                 0,                 0,       1.030285173,    -0.02846725713,      0.7212963491,                 0,       77.43372213,   0.0001250203219
          0,           0,          37,      -4.139309298,      -1.336088426,        -1.3376594,       1.318932321,      -7.438618154,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,    0.007021946659,      0.6802837958,                 0,                 0,                 0,      0.9211537385,    -0.02859097965,      0.6797189908,                 0,       96.87965872,   0.0001250203219
          0,           0,          38,      -4.143927438,      -1.338735896,      -1.338199997,       1.314390872,      -7.432902658,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,    0.003952895701,      0.5860110364,                 0,                 0,                 0,      0.6966211032,    -0.02672196956,      0.5854148072,                 0,        148.248545,   0.0001250203219
          0,           0,          39,      -4.152213966,      -1.348392436,      -1.346351203,       1.307255001,      -7.423061155,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,    0.002121493744,      0.3839288846,                 0,                 0,                 0,      0.2838433392,    -0.01797469899,      0.3835137538,                 0,        180.971019,   0.0001250203219
          0,           0,          40,      -4.167859589,      -1.384775217,      -1.387523119,        1.29479293,      -7.419561673,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.00191433426,      0.3325192138,                 0,                 0,                 0,      0.1830134502,    -0.01549100029,      0.3321636963,                 0,       173.6996619,   0.0001250203219
          0,           0,          41,      -4.163534546,      -1.394880411,      -1.396747268,       1.299381256,       -7.41381497,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,    0.002374566311,      0.2318220754,                 0,                 0,                 0,    0.002224306196,   -0.009761317943,      0.2316286465,                 0,        97.6271222,   0.0001250203219
          0,           0,          42,      -4.160418188,      -1.415696424,      -1.417829361,       1.303650319,      -7.403679965,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,    0.005098483674,     0.06549797023,                 0,                 0,                 0,     -0.2427300484,    0.001663597475,     0.06567504156,                 0,       12.84655878,   0.0001250203219
          0,           0,          43,       -4.18473157,       -1.44615256,      -1.451556243,       1.281148198,      -7.399591957,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,    0.005891170664,     0.02599691577,                 0,                 0,                 0,     -0.2963416564,    0.004522523573,     0.02626960795,                 0,       4.412860746,   0.0001250203219
          0,           0,          44,      -4.190217669,      -1.450893288,      -1.453538047,       1.275329251,      -7.393776858,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,    0.007752766877,    -0.03976642457,                 0,                 0,                 0,     -0.3687918775,    0.009823355836,     -0.0393061776,                 0,      -5.129320306,   0.0001250203219
          0,           0,          45,      -4.212363862,      -1.452373482,       -1.45127861,       1.253341666,      -7.383490476,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.01178018966,     -0.1073337618,                 0,                 0,                 0,     -0.3797245169,     0.01738146038,     -0.1065701371,                 0,      -9.111378082,   0.0001250203219
          0,           0,          46,      -4.302596741,      -1.437044606,      -1.435932022,        1.16337452,       -7.37902072,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.01282046838,     -0.1203765013,                 0,                 0,                 0,     -0.3736672229,     0.01910291768,      -0.119540558,                 0,      -9.389399651,   0.0001250203219
          0,           0,          47,      -4.328544018,      -1.432890973,      -1.430064668,       1.136006643,      -7.373095502,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.01490736142,     -0.1288682685,                 0,                 0,                 0,     -0.3298247924,     0.02163137546,      -0.127911468,                 0,      -8.644606174,   0.0001250203219
          0,           0,          48,      -4.387271621,      -1.423518558,      -1.421667231,       1.075681457,      -7.362752657,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.01893256828,    -0.08284468687,                 0,                 0,                 0,     -0.1485483737,     0.02324237776,    -0.08174029704,                 0,      -4.375776473,   0.0001250203219
