Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
Main_Wing,0.566080,0.563390,0.004655,0.004655
Main_Wing,0.566080,0.563390,0.004655,0.004655
Fuselage,0.915197,0.909149,0.050850,0.050791
H_Tail,0.220057,0.197297,0.001117,0.001007
V_Tail,0.085044,0.075945,0.000441,0.000396
Totals,2.352458,2.309171,0.061717,0.061510

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
Main_Wing_S_Surf0,0.566080,0.563390
Main_Wing_S_Surf1,0.566080,0.563390
Fuselage_S_Surf0,0.915197,0.909149
H_Tail_S_Surf0,0.110029,0.098648
H_Tail_S_Surf1,0.110029,0.098648
V_Tail_S_Surf0,0.085044,0.075945
